"qb","first_name","last_name","season","games_started","spread_val","spread_val_wow","spread_val_ytd","rank","win_pct","average_qb_elo","average_qb_elo_era_adj","headshot_url","team","gsis_id","espn_id","birth_date","height","weight","jersey_number","college","unique_id","position","qb_plays","pass_atts","pass_comp","inc","int","td","passing_yards","sacks","sack_yards","rush_atts","rush_yards","rush_tds","yards_p_att","td_rate","int_rate","comp_pct","td_int_net_rate","yards_per_carry","any_a","passer_rating","adot","v_sticks","cpoe","total_epa","avg_epa","succsess_rate","qb_rush_epa_delta","sack_epa_delta","incomplete_epa_delta","interception_epa_delta","completion_air_epa_delta","completion_yac_epa_delta","net_penalty_epa_delta","other_outcome_epa_delta","wpa","wins","losses","ties","comebacks","total_wpa","games_played","qbr_total","team_nick","team_logo_espn","team_color","team_color2"
"Aaron Rodgers","Aaron","Rodgers","2024","10","0.0902650000000005","-0.5321884","-1.9315703999999996","15.0","0.3","133.0436033","-36.4399417","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to","NYJ","00-0023459","8439.0","1983-12-02","74.0","225.0","8.0","California","00-0023459_2024","#8","382.0","351","219.0","125.0","7.0","15.0","2258.0","23.0","-177.0","9","46.0","0.0","6.433048433048433","0.0427350427350427","0.0199430199430199","0.6239316239316239","0.0227920227920227","5.111111111111111","5.524064171122995","86.81742640075973","6.871794871794871","-1.643874643874644","-2.3483496902654863","16.5980606085","0.0411862546116625","0.4392059553349876","-0.0355302523757068","0.0147397460649721","-0.0441209486904201","0.0115018259210549","0.0022035031519258","0.016373691654929","0.0198173084320302","4.7966517974602034e-05","0.0001205385287121","3","7","0","1","0.048577027071","10","52.1","Jets","https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png","#003F2D","#000000"
"Jared Goff","Jared","Goff","2024","9","0.0558406000000002","-0.6492863999999997","-0.8448440000000005","16.0","0.8888888888888888","157.3614462222222","-12.122098777777769","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxyaiwwkabzmmphouxil","DET","00-0033106","3046779.0","1994-10-14","76.0","223.0","16.0","California","00-0033106_2024","#16","265.0","240","173.0","58.0","9.0","16.0","2080.0","18.0","-147.0","8","29.0","0.0","8.666666666666666","0.0666666666666666","0.0375","0.7208333333333333","0.0291666666666666","3.625","7.162790697674419","104.8611111111111","6.895833333333333","-1.5666666666666669","5.836439375","43.3756876985","0.1577297734490909","0.4945454545454545","-0.0282913130346736","-0.0060815996154248","0.0378106723036605","-0.0525600164880585","-0.0384137999879297","0.2062234335602631","-0.017137147662443","2.612729092745563e-05","0.0015512670905781","8","1","0","2","0.426598449909","9","54.2","Lions","https://a.espncdn.com/i/teamlogos/nfl/500/det.png","#0076B6","#B0B7BC"
"Trevor Lawrence","Trevor","Lawrence","2024","9","-0.0338706000000001","-0.4441392000000007","-0.2643904000000009","15.0","0.2222222222222222","154.91270052222222","-14.570844477777772","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ftznnho2rk2xzrculbob","JAX","00-0036971","4360310.0","1999-10-06","78.0","220.0","16.0","Clemson","00-0036971_2024","#16","303.0","273","168.0","99.0","6.0","11.0","2004.0","18.0","-140.0","21","116.0","3.0","7.34065934065934","0.0402930402930402","0.0219780219780219","0.6153846153846154","0.0183150183150183","5.523809523809524","6.233676975945017","88.22496947496948","9.117216117216117","0.6153846153846154","-0.3499184122137403","13.0933576934","0.0405367111250773","0.4582043343653251","-0.0070936516388954","0.0032657074966494","-0.0471799864849012","0.0119033870423665","0.1148542977013525","-0.0838417370556226","-0.0075508439363524","2.612729092745563e-05","0.0002561581261362","2","7","0","0","0.0827390747420001","9","61.7","Jaguars","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","#006778","#000000"
"Geno Smith","Eugene","Smith","2024","9","-0.2287914","-0.4196468000000004","-0.0285576000000003","18.0","0.4444444444444444","171.97075","2.487205000000008","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/izkm5yyxybb5uy5dkcgf","SEA","00-0030565","15864.0","1990-10-10","75.0","221.0","7.0","West Virginia","00-0030565_2024","#7","384.0","340","233.0","97.0","10.0","11.0","2560.0","28.0","-181.0","24","202.0","1.0","7.529411764705882","0.0323529411764705","0.0294117647058823","0.6852941176470588","0.0029411764705882","8.416666666666666","5.839673913043479","89.09313725490196","7.2","-2.361764705882353","2.922370904255319","22.2215995146","0.0517986002671328","0.4941724941724941","-0.01998913306824","0.0163738451994935","0.0312400078587188","-0.0403423350083382","-0.0340712804584425","0.0316855113958268","0.0106673830797481","8.118933987850458e-05","0.0018622391923562","4","5","0","0","0.79890061352083","9","52.0","Seahawks","https://a.espncdn.com/i/teamlogos/nfl/500/sea.png","#002244","#69be28"
"Justin Fields","Justin","Fields","2024","6","-0.3581705999999997","0.0865980000000001","0.5784483999999998","17.0","0.6666666666666666","181.4178383333333","11.934293333333338","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vqcvybvs1vlqhkjvujbg","PIT","00-0036945","4362887.0","1999-03-05","75.0","223.0","2.0","Ohio State","00-0036945_2024","#2","194.0","159","106.0","52.0","1.0","5.0","1106.0","16.0","-124.0","47","232.0","5.0","6.955974842767295","0.0314465408805031","0.0062893081761006","0.6666666666666666","0.0251572327044025","4.9361702127659575","5.925714285714286","94.48375262054508","7.654088050314465","-2.0817610062893084","2.6223634337748347","23.963572141","0.1006872779033613","0.4663865546218487","0.0244290803500475","-0.009838544265845","0.0395602560922549","0.0599589637340958","-0.0467877506305271","-0.0265922177755253","0.003777952094165","2.612729092745563e-05","0.0040290428508403","4","2","0","0","0.9589121985","6","53.8","Steelers","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","#000000","#FFB612"
"Mason Rudolph","Mason","Rudolph","2024","3","-0.5201914","0.1247655999999994","-0.0451848000000006","20.0","0.3333333333333333","149.51589166666668","-19.96765333333332","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pn938e0z2fobxmzfxmlh","TEN","00-0034771","3116407.0","1995-07-17","77.0","235.0","11.0","Oklahoma State","00-0034771_2024","#11","138.0","126","76.0","46.0","4.0","4.0","806.0","6.0","-38.0","10","60.0","1.0","6.396825396825397","0.0317460317460317","0.0317460317460317","0.6031746031746031","0.0","6.0","5.0606060606060606","76.3558201058201","7.674603174603175","-1.4126984126984128","-1.135159726495727","-5.906962324999999","-0.038861594243421","0.4605263157894737","0.0226454915375751","0.0520353553372067","-0.0579211717369135","-0.0623117528957139","0.0296594147009578","-0.092220665675166","0.0130721953167435","2.612729092745563e-05","0.0031128416803519","2","2","0","0","0.4731519354135","4","54.2","Titans","https://a.espncdn.com/i/teamlogos/nfl/500/ten.png","#002244","#4B92DB"
"Matthew Stafford","John","Stafford","2024","9","-0.6119117999999992","-0.1923063999999999","-0.9229868","17.0","0.4444444444444444","127.57239566666664","-41.91114933333333","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xdlnnbapdbk8trxqlasu","LA","00-0026498","12483.0","1988-02-07","75.0","220.0","9.0","Georgia","00-0026498_2024","#9","342.0","321","214.0","100.0","7.0","9.0","2262.0","21.0","-151.0","0","0.0","0.0","7.046728971962617","0.02803738317757","0.0218068535825545","0.6666666666666666","0.0062305295950155","","5.777777777777778","87.25986500519211","7.56386292834891","-1.031152647975078","-0.7603608706070287","14.8081456935","0.0409064798162983","0.505524861878453","-0.0368143157255827","-0.0069609407016127","-0.0245652937156864","-3.4462520604947033e-05","-0.0153724064001798","0.0239421830169719","0.044532177964679","2.612729092745563e-05","0.0026511760927486","4","5","0","2","0.959725745575","9","62.9","","","",""
"Bo Nix","Bo","Nix","2024","10","-0.7081437999999991","0.1461328000000003","1.2782076000000009","18.0","0.5","170.1683677","0.6848227000000051","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zibtvsprpauxnytis229","DEN","00-0039732","4426338.0","2000-02-25","74.0","217.0","10.0","Oregon","00-0039732_2024","#10","372.0","323","206.0","111.0","6.0","10.0","1968.0","17.0","-135.0","51","303.0","4.0","6.0928792569659445","0.0309597523219814","0.0185758513931888","0.6377708978328174","0.0123839009287925","5.941176470588236","5.185294117647059","83.19788441692467","8.074303405572756","-0.7801857585139319","-0.5983776900958466","-26.9085105826","-0.0648397845363855","0.416867469879518","0.0140504448045377","0.0396245666399968","-0.0084602549683656","0.0279173411636392","-0.0531420836709746","-0.1104676256110078","-0.0305747176396609","5.913277478287732e-05","-0.002265122687592","5","5","0","1","-0.9400259153507","10","54.5","Broncos","https://a.espncdn.com/i/teamlogos/nfl/500/den.png","#002244","#FB4F14"
"Jameis Winston","Jameis","Winston","2024","2","-1.1247061999999994","-0.7531383999999991","-0.2436083999999994","24.0","0.5","114.835405","-54.648139999999984","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/chdeosreuupotgq0eqlm","CLE","00-0031503","2969939.0","1994-01-06","76.0","231.0","5.0","Florida State","00-0031503_2024","#5","112.0","99","59.0","37.0","3.0","5.0","652.0","9.0","-37.0","12","31.0","0.0","6.585858585858586","0.0505050505050505","0.0303030303030303","0.5959595959595959","0.0202020202020202","2.583333333333333","5.37037037037037","83.39646464646465","9.444444444444445","0.6161616161616161","-3.888245414141414","6.159919350000003","0.0496767689516129","0.4596774193548387","0.0352510979034495","0.0138847763007041","-0.0057381098268965","-0.040496295977208","0.1954575130185511","-0.1734515139909767","-0.0314102421386893","2.612729092745563e-05","0.0022704056859717","2","4","0","0","0.2815303050605","6","61.6","Browns","https://a.espncdn.com/i/teamlogos/nfl/500/cle.png","#FF3C00","#311D00"
"Joe Flacco","Joseph","Flacco","2024","4","-1.2056426","-0.1974451999999996","-0.2295587999999997","19.0","0.25","133.40547575","-36.07806925","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc","IND","00-0026158","11252.0","1985-01-16","78.0","245.0","15.0","Delaware","00-0026158_2024","#15","186.0","170","113.0","52.0","5.0","9.0","1167.0","13.0","-101.0","4","28.0","0.0","6.864705882352941","0.0529411764705882","0.0294117647058823","0.6647058823529411","0.0235294117647058","7.0","5.579234972677596","91.47058823529412","8.511764705882353","-0.7764705882352941","1.699573855421687","8.791706522599998","0.0435232996168316","0.4603960396039604","-0.0295346297849886","-0.0091577516312664","0.005181440858188","-0.0507426692844581","0.0764859658924572","-0.0287453155636691","0.0238567193272959","2.612729092745563e-05","-0.0005623974782574","2","3","0","1","-0.113604290608","5","55.0","Colts","https://a.espncdn.com/i/teamlogos/nfl/500/ind.png","#002C5F","#a5acaf"
"Drake Maye","Drake","Maye","2024","5","-1.3204737999999998","-0.0005263999999999","0.6658776000000001","20.0","0.4","170.752264","1.2687190000000044","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iy96wbyjth5ehizc0xq5","NE","00-0039851","4431452.0","2002-08-30","76.0","225.0","10.0","North Carolina","00-0039851_2024","#10","186.0","149","97.0","47.0","5.0","7.0","954.0","14.0","-95.0","23","234.0","1.0","6.402684563758389","0.046979865771812","0.0335570469798657","0.6510067114093959","0.0134228187919463","10.173913043478262","4.748466257668712","84.68959731543623","7.604026845637584","-1.3154362416107384","1.248007493006993","-7.236438214000002","-0.0365476677474747","0.4444444444444444","0.0718039863451243","-0.0444254797305763","0.0198940113412363","-0.0290823234698766","-0.0736188910541923","-0.012881078462254","-0.0244174306887056","2.612729092745563e-05","-0.0004930541922297","2","4","0","0","-0.0976247300615","6","55.3","Patriots","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png","#002244","#C60C30"
